officer_id;po_assigned_unit;TotalComplaints;Civil Rights Complaint;Criminal Allegation;Departmental Violation;Disciplinary Code Violation;Domestic;Drugs;Falsification;Harassment;Investigation OnGoing;Lack of Service;No C.A.P. Investigation;Other Misconduct;Physical Abuse;Referred to Other Agency/C.A.P. Investigation;Sexual Crime/Misconduct;Unprofessional Conduct;Verbal Abuse;Gender;race;No Sustained Findings;Not Applicable;Pending;Sustained Finding
11370603;0100 01ST DISTRICT; 1;0;0; 3;0;0;0;0;0;0;3;0;0;1;0;0;0;0;1;5; 5;0;0; 2
11386739;1600 16TH DISTRICT; 7;0;0; 5;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;5; 5;0;0; 2
11393434;1200 12TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;5; 1;0;0; 0
11424676;5900 EAST DETECTIVES; 5;0;0; 4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4; 4;0;0; 1
11426736;6003 HOMICIDE UNIT; 3;0;0; 0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;2; 3;0;0; 0
11439439;6100 SOUTH DETECTIVES; 1;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2; 1;0;0; 0
11440812;0600 06TH DISTRICT; 1;0;0; 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5; 0;0;0; 1
11451112;5900 EAST DETECTIVES; 2;0;0; 1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;5; 1;0;0; 1
11479951;2500 25TH DISTRICT; 3;0;0; 3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5; 3;0;0; 0
11487848;2400 24TH DISTRICT; 1;0;0; 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2; 0;0;0; 1
11570932;1200 12TH DISTRICT; 3;0;0; 5;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;2; 4;0;0; 3
11570932;7402 STRIKE FORCE; 4;0;0; 5;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;2; 4;0;0; 3
11595136;1900 19TH DISTRICT; 2;0;0; 0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1; 1;0;1; 0
11636506;9800 INTERNAL AFFAIRS; 1;0;0; 0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5; 1;0;0; 0
11650411;1800 18TH DISTRICT; 3;0;0; 1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;5; 3;0;0; 0
11691438;7403 NARC FIELD UNIT NOR; 3;0;0; 2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;5; 3;0;0; 0
11775895;6400 NORTHEAST DET; 2;0;0; 1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;5; 3;0;0; 0
11775895;6100 SOUTH DETECTIVES; 1;0;0; 1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;5; 3;0;0; 0
11798898;0600 06TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;2; 1;0;0; 1
11798898;1200 12TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;2; 1;0;0; 1
11800100;2500 25TH DISTRICT; 4;0;1; 1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;5; 3;0;1; 0
11803361;0900 09TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2; 0;0;0; 1
11808168;1900 19TH DISTRICT; 2;0;0; 1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1; 1;0;0; 1
